"sub","block","balloon","pump","explode.or.not"
1,1,3,5,1
1,1,6,4,1
1,1,9,6,0
1,1,12,5,1
1,1,13,5,1
1,1,15,3,1
1,1,19,2,1
1,1,23,3,1
1,1,26,4,1
1,1,30,2,1
1,1,31,5,0
1,1,32,4,1
1,1,33,7,1
1,1,34,2,1
1,1,35,7,1
1,1,36,2,0
1,1,37,2,1
1,1,38,1,0
1,1,39,1,0
1,1,40,1,0
1,1,41,1,0
1,1,42,2,1
1,1,43,1,0
1,1,44,1,0
1,1,45,1,0
1,1,46,1,0
1,1,47,1,1
1,1,48,1,0
1,1,49,1,0
1,1,50,1,0
