"sub","block","balloon","pump","explode.or.not"
1,2,1,9,1
1,2,2,6,0
1,2,5,5,1
1,2,6,7,1
1,2,9,9,1
1,2,11,15,1
1,2,12,1,1
1,2,24,13,1
1,2,26,3,1
1,2,27,10,1
1,2,51,12,1
1,2,52,2,1
1,2,53,9,1
1,2,54,7,1
1,2,55,8,1
1,2,56,14,1
1,2,57,5,1
1,2,58,4,1
1,2,59,10,1
1,2,60,9,1
1,2,61,9,1
1,2,62,8,0
1,2,63,8,1
1,2,64,7,0
1,2,65,10,1
1,2,66,1,1
1,2,67,8,1
1,2,68,2,1
1,2,69,11,1
1,2,70,4,1
