"sub","block","balloon","pump","explode.or.not"
1,3,2,13,1
1,3,5,5,0
1,3,7,8,0
1,3,10,10,0
1,3,16,8,0
1,3,18,8,0
1,3,20,4,0
1,3,22,8,0
1,3,28,5,0
1,3,29,5,0
1,3,71,5,0
1,3,72,5,0
1,3,73,10,0
1,3,74,5,0
1,3,75,13,0
1,3,76,5,0
1,3,77,40,0
1,3,78,43,1
1,3,79,12,0
1,3,80,26,0
1,3,81,18,1
1,3,82,14,1
1,3,83,13,0
1,3,84,9,0
1,3,85,10,0
1,3,86,42,0
1,3,87,11,1
1,3,88,72,1
1,3,89,4,1
1,3,90,44,0
