"sub","block","balloon","pump","explode.or.not"
1,2,1,12,1
1,2,4,10,1
1,2,8,7,1
1,2,11,2,1
1,2,14,6,0
1,2,17,16,1
1,2,21,5,1
1,2,24,8,0
1,2,25,1,1
1,2,27,5,1
1,2,51,1,0
1,2,52,1,0
1,2,53,5,0
1,2,54,5,0
1,2,55,5,0
1,2,56,2,1
1,2,57,3,1
1,2,58,5,0
1,2,59,1,1
1,2,60,2,1
1,2,61,10,1
1,2,62,6,0
1,2,63,6,0
1,2,64,7,0
1,2,65,7,1
1,2,66,5,1
1,2,67,6,1
1,2,68,6,0
1,2,69,4,1
1,2,70,6,1
