"sub","block","balloon","pump","explode.or.not"
1,1,1,4,1
1,1,7,2,1
1,1,8,1,0
1,1,10,3,1
1,1,11,2,0
1,1,16,5,0
1,1,18,4,1
1,1,20,3,0
1,1,23,1,1
1,1,28,2,0
1,1,31,1,1
1,1,32,3,0
1,1,33,3,0
1,1,34,2,1
1,1,35,3,1
1,1,36,2,0
1,1,37,2,0
1,1,38,2,1
1,1,39,1,0
1,1,40,1,0
1,1,41,1,0
1,1,42,1,0
1,1,43,3,0
1,1,44,3,1
1,1,45,2,0
1,1,46,1,1
1,1,47,1,1
1,1,48,1,0
1,1,49,1,0
1,1,50,1,1
